Africa    n.非洲
north    n.北，北方
northeast    n.东北
northern    a.北方的，北部的
northwest    n.西北
nose    n.突出部分(如船头等)
not    ad.不，没有
notary    n.公证人；公证员
note    n.笔记；便条；注释
notebook    n.笔记本，期票簿
noted    a.著名的，知名的
nothing    n.没有东西
notice    vt.注意
noticeable    a.显而易见的；重要的
noun    n.名词
novel    a.新的，异常的
now    ad.现在；立刻；于是
nowadays    ad.现今，现在
nowhere    ad.任何地方都不
nuclear    a.原子核的；核心的
nucleus    n.原子核；细胞核
nuisance    n.讨厌的东西
number    vt.共计，达…之数
numerous    a.为数众多的；许多
nurse    n.保姆；护士
nursery    n.苗圃，养鱼池
nut    n.螺帽，螺母
nylon    n.尼龙，耐纶
obey    vt.顺从
object    vi.反对；抱反感
objection    n.反对，异议；不喜欢
objective    n.宾格
oblige    vt.使感激；施恩惠于
obligee    n.权利人；债权人
obligor    n.债务人；欠债者
observation    n.意见，短评，按语
observe    vi.说，评述，评论
observer    n.观察员，观测者
obstacle    n.障碍，障碍物，妨害
obtain    vt.获得，得到，买到
obvious    a.明显的，显而易见的
occasion    n.场合，时刻；时机
occasional    a.偶然的；临时的
occupation    n.占领，占据；职业
occupy    vt.占领；占，占有
occur    vi.发生；出现，存在
occurrence    n.事故
ocean    n.海洋；洋
odd    a.奇数的；单只的
of    prep.…的；由于
off    ad.(离)开；(停)止
offend    vt.冒犯
offer    vt.呈现出
offeree    n.受盘人；被发价人
offerer    n.发盘人；发价人
office    n.办公室；处，局，社
officer    n.官员；干事；军官
official    a.官员的；官方的
often    ad.经常，常常
oh    int.嗬，哦，唉呀
oil    n.油；石油
ok    adj.好；不错；可以 adv.好；不错；可以
okay    (缩作OK)a.&ad.对，好
old    a.老的；…岁的
omit    vt.省略，省去；遗漏
on    prep.在…上；在…旁
once    ad.一次；曾经
one    num.一
oneself    pron.自己；亲自
only    ad.只，仅仅
onto    prep.到…上
open    a.开的；开放的
open-end    adj.不受限制的；开放的；允许借用的
opening    a.开始的
opera    n.歌剧
operate    vi.操作；施行手术
operation    n.运算
operator    n.操作人员，接线员
opinion    n.意见，看法，主张
opponent    n.对手，敌手；对抗者
opportunity    n.机会，良机
oppose    vt.反对；反抗
opposite    a.对面的
opposition    n.反对；敌对；在野党
oppress    vt.压迫，压制；压抑
optimistic    a.乐观的；乐观主义的
option    n.选择，取舍
or    conj.或，或者；即
oral    a.口头的；口的
orange    n.橙(树)；柑(树)
orbit    n.运行轨道
orchestra    n.管弦乐队的全部乐器
order    n.次序；整齐
orderly    a.整洁的；有秩序的
ordinary    a.平常的；平凡的
ore    n.矿，矿石，矿砂
organ    n.器官；机构；管风琴
organism    n.生物体；有机体
organization    n.组织；团体，机构
organize    vt.组织，编组
origin    n.起源，由来；出身
original    a.最初的；新颖的
ornament    n.装饰物
orphan    n.孤儿
other    a.另外的；其余的
otherwise    ad.另外；在其他方面
ought    v.aux
ounce    n.盎司，英两
our    pron.我们的
ours    pron.我们的
ourselves    pron.我们自己
out    ad.出，在外；现出来
out-of-stock    adj.缺货的；脱销的
outcome    n.后果，成果
outdoor    a.户外的，室外的
outdoors    ad.在户外，在野外
outline    vt.概述，概括
output    n.产量；输出量；输出
outset    n.开始，开端
outside    prep.在…外，向…外
outskirts    n.郊区
outstanding    a.突出的，杰出的
oven    n.炉，灶；烘箱
over    prep.在(做)…时
overall    a.综合的
overcoat    n.外衣，大衣
overcome    vt.战胜，克服
overdraft    n.透支
overdraw    v.透支；拉过度；夸大
overdue    adj.过期的；未兑的；迟到的
overhead    a.在头顶上的；架空的
overhear    vt.偶然听到；偷听
overlook    vt.眺望；看漏；宽容
overnight    ad.一夜；突然
overproduction    n.生产过剩；过量生产
override    v.推翻；无视；凌驾；超驰控制(使自动控制暂时失效而改用手动控制)；[计算机]覆盖 n.给代理人的佣金；超驰控制装置；推翻
oversea    adj.海外的 adv.在海外
overseas    ad.在海外，(向)国外
overtake    vt.突然袭击，压倒
overtime    a.超时的，加班的
overvalue    vt. 对 ... 估价过高； 过分重视
overwork    n.过度操劳；过度工作 v.工作过度
owe    vt.欠；应把…归功于
own    a.自己的
owner    n.物主，所有人
ownership    n.所有(权)，所有制
ox    n.牛；公牛，阉牛
oxygen    n.氧；氧气
pace    vi.(马)溜蹄走
pacific    a.性情温和的
pack    vt.捆扎；挤满
package    n.包裹，包，捆
packet    n.小包(裹)，小捆
packing    n.包装
page    n.页
pain    n.痛，疼痛；辛苦
painful    a.使痛的；费力的
paint    vt.画；油漆
painter    n.漆工，画家，绘画者
painting    n.油画；绘画；着色
pair    n.一对
palace    n.宫，宫殿
pale    a.苍白的；浅的
palm    n.手掌，手心；掌状物
pan    n.平底锅，盘子
panda    n.小猫熊；猫熊
panic    n.恐慌，惊慌
paper    vt.用纸包装(或覆盖)
par    n.同等；等位；常态；票面价值；[体]标准杆数 adj.票面的；平常的；标准的
parade    vt.夸耀(才能等)
paradise    n.伊甸乐园；天堂
paragraph    n.小新闻，短评
parallel    a.平行的；相同的
parameter    n.参(变)数；参量
parcel    n.包裹，小包，邮包
pardon    n.原谅；赦免
parent    n.父亲，母亲，双亲
parity    n.相等；势均力敌；等值
park    n.公园；停车场
parliament    n.议会，国会
part    n.一部分；零件；本份
partial    a.部分的；不公平的
participate    vi.参与
particle    n.粒子，微粒
particular    a.苛求的；特称的
partly    ad.部分地，不完全地
partner    n.伙伴；搭挡；配偶
partnership    n.合伙人身份；合股；合伙经营
party    n.党，党派；聚会
pass    vt.经过；通过；度过
passage    n.通过；通路，通道
passbook    n.银行存折；顾客赊欠账簿
passenger    n.乘客，旅客，过路人
passion    n.激情，热情；爱好
passive    a.被动的；消极的
passport    n.达到目的的手段
past    a.过去的
paste    n.糊，酱；浆湖
pastime    n.消遣，娱乐
pat    n.&vt.&n.轻拍
patent    a.专利的
path    n.路，小道；道路
patience    n.忍耐，容忍，耐心
patient    a.忍耐的
patron    n.庇护人；赞助人
pattern    vt.仿制，仿造，模仿
pause    n.&vi.中止，暂停
pave    vt.铺，筑(路等)
pavement    n.(英)人行道
paw    n.脚爪，爪子
pay    vt.支付；付给；给予
payable    adj.可付的；应付的
payee    n.收款人；取款人
payer    n.支付者；付款人
payment    n.支付，支付的款项
payroll    n.工资单；工薪总额
pea    n.豌豆；豌豆属植物
peace    n.和平；和睦；平静
peaceful    a.和平的；安静的
peach    n.桃子，桃树
peak    n.(物体的)尖端
pear    n.梨子，梨树
pearl    n.珍珠；珍珠母
peasant    n.农民
peculate    vt.挪用（尤指公款）；盗领（钱财）
peculiar    a.特有的；特别的
peep    vi.(从缝隙中)偷看
peg    n.钉；支柱；借口 vt.钉木桩；扔 vi.努力工作；匆忙走
pen    n.钢笔，自来水笔
penalty    n.处罚，刑罚；罚款
pencil    n.铅笔
penetrate    vt.穿过
penny    n.(英)便士；(美)分
pension    n.抚恤金，年金
people    n.人民，民族；人
pepper    n.胡椒，胡椒粉
per    prep.每
perceive    vt.察觉，发觉；理解
percent    n.百分之…
percentage    n.百分比，百分率
perfect    vt.使熟练，使改善
perform    vt.履行，执行；演出
performance    n.履行；演出；行为
perhaps    ad.也许，可能，多半
period    n.时期；学时；句号
perk    v.（使）振作；打扮；竖起 vi.滤煮 n.额外津贴；特权；利益
permanent    a.永久的，持久的
permission    n.允许，许可，同意
permit    vt.允许
persist    vi.持续，存留
person    n.人；人身；本人
personal    a.个人的；本人的
personality    n.人格，个性；人物
personnel    n.人事部门
perspective    n.透视；远景；观点
persuade    vt.说服
pessimistic    a.悲观的；厌世的
pet    n.爱畜；宠儿a.宠爱的
petrol    n.(英)汽油
petroleum    n.石油
phase    n.阶段；方面；相位
phenomenon    n.现象
philosopher    n.哲学家
philosophy    n.哲学；哲理；人生观
phone    n.电话，电话机；耳机
photo    n.照片 v.拍照
photograph    n.照片，相片
phrase    n.短语；习惯用语
physical    a.物质的；物理的
physician    n.医生，内科医生
physicist    n.物理学家
physics    n.物理学
pianist    n.钢琴家
piano    n.钢琴
pick    vt.拾，摘
picnic    n.郊游，野餐
picture    n.画，图片
pie    n.(西点)馅饼
piece    n.碎片，块
piecework    n.按件计酬的工作；计件工作
pierce    vt.穿透，戳穿，洞察
pig    n.猪，小猪，野猪
pigeon    n.鸽子
pile    n.堆
pill    n.药丸，丸剂
pillar    n.柱，柱子；栋梁
pillow    n.枕头
pilot    n.领航员；飞行员
pin    n.针，饰针
pine    n.松树，松木
pink    n.粉红色
pint    n.品脱
pioneer    n.拓荒者；先驱者
pipe    n.管乐器
pistol    n.手枪
pit    n.坑，地坑；煤矿
pitch    n.人造树脂
pity    n.怜悯；遗憾
place    n.地方，地点；住所
plain    a.坦白的；普通的
plan    n.&vt.计划，打算
plane    n.平面；飞机
planet    n.行星
plant    n.植物；工厂
plantation    n.种植园；栽植
plastic    a.塑料的；塑性的
plate    n.板，片，盘
platform    n.政纲，党纲，宣言
play    vi.玩，游戏；演奏
player    n.游戏的人；比赛者
playground    n.操场，运动场
pleasant    a.令人愉快的，舒适的
please    vt.使高兴，请vi.满意
pleased    adj.高兴的，开心的，乐意的
pleasure    n.愉快，快乐；乐事
plentiful    a.丰富的，富裕的
plenty    n.丰富，充足，大量
plot    n.小块土地
plough    n.犁
plow    n.犁；耕地 vt.耕犁；费力通过；破浪前行 vi.耕田；费力前进；辛苦进行
plug    n.塞子；插头
plural    a.复数的
plus    prep.加，加上
pocket    n.衣袋
poem    n.诗，韵文，诗体文
poet    n.诗人
poetry    n.诗，诗歌，诗作
point    n.点；要点；细目；分
poison    n.毒，毒药
poisonous    a.有毒的，有害的
pole    n.极(点)，磁极，电极
police    n.警察；警察当局
policeman    n.警察
policy    n.政策，方针
polish    vt.磨光；使优美
polite    a.有礼貌的；有教养的
political    a.政治的，政治上的
politician    n.政治家；政客
politics    n.政纲，政见，策略
pollutant    n.污染物质
pollute    vt.弄脏，污染，沾污
pollution    n.污染
pond    n.池塘
pool    n.共用物
poor    a.贫穷的；贫乏的
pop    vi.(意外地)出现
popular    a.民众的；流行的
popularity    n.通俗性；普及，流行
population    n.人口；全体居民
pork    n.猪肉
port    n.港，港口
portable    a.可移动的
porter    n.搬运工人
portion    n.一部分；一分
portrait    n.消像，画像
position    n.主张，立场；形势
positive    a.正的；阳性的
possess    vt.占用，拥有(财产)
possession    n.有，所有；占有物
possibility    n.可能的事
possible    a.可能的；可能存在的
possibly    ad.可能地；也许
post    n.岗位，哨所；职位
post-office    adj.邮局的；邮政部的
postage    n.邮费，邮资
postcard    n.明信片 adj.如画的
poster    n.海报；装饰画；急行旅人
postgraduate    n.研究生 adj.大学毕业后的；研究生的
posting    n.过账；记入；任命 v.动词post的现在分词
postman    n.邮递员
postpone    vt.延迟，推迟，延缓
pot    n.锅，壶，罐，盆
potato    n.马铃薯，土豆
potential    a.潜在的
poultry    n.家禽
pound    vt.捣碎；舂烂；猛击
pour    vt.灌，倒
poverty    n.贫穷，贫困
powder    n.粉末；药粉；火药
power    n.能力；力；权；幂
powerful    a.强有力的；有权威的
practical    a.实践的；实用的
practically    ad.实际上；几乎
practice    n.实践；练习；业务
practise    vt.练习，实习，训练
praise    n.赞扬，赞美
pray    vt.&vi.请求；祈祷
precaution    n.预防；警惕
precious    a.珍贵的，宝贵的
precise    a.精确的，准确的
predict    v.预言，预告，预测
prediction    n.预言，预告；预报
preface    n.序言，前言，引语
prefer    vt.宁可，宁愿
preferable    a.更可取的，更好的
preference    n.偏爱，优先；优先权
pregnant    a.怀孕的；意义深长的
prehistoric    adj.史前的；陈腐的
prejudice    n.偏见，成见；损害
premier    n.总理，首相
premium    n.额外费用；奖金；保险费 n.(商)溢价 adj.高价的；优质的
prepackage    n.预先包装 v.预先包装
preparation    n.准备，预备；制备
prepare    vt.&vi.准备，预备
prepay    vt.预付
preposition    n.前置词，介词
prescribe    vt.命令；处(方)
prescription    n.药方，处方的药
presence    n.出席，到场；在
present    n.礼物，赠送物
presently    ad.一会儿；目前
preserve    vt.保护；保存；腌渍
president    n.总统；校长；会长
press    n.印刷机，印刷所
pressure    n.电压；大气压力
prestige    n.威望，威信，声望
pretend    vt.假托，借口vi.假装
pretty    a.漂亮的，标致的
prevent    vt.预防，防止；阻止
prevention    n.预防，阻止，妨碍
previous    a.先的；前的
price    n.价格，价钱；代价
pride    n.骄傲；自豪
priest    n.教士，牧师，神父
primarily    ad.首先；主要地
primary    a.最初的；基本的
prime    a.首要的
primitive    a.远古的，未开化的
prince    n.王子，亲王
princess    n.公主，王妃
principal    a.主要的
principle    n.原则，原理；主义
print    vt.印刷
printing    n.印刷；印刷术
prior    a.在先的；优先的
prison    n.监狱，监禁
prisoner    n.囚犯
private    a.私人的；私下的
privilege    n.特权，优惠
prize    n.奖赏，奖金
probability    n.可能性；概率
probable    a.或有的；大概的
probably    ad.或许，大概
problem    n.问题；习题，问题
procedure    n.程序；手续；过程
proceed    vi.进行；继续进行
process    n.过程；工序
processor    n.加工者；处理器
proclaim    vt.宣告，宣布；表明
produce    vt.生产；产生；展现
product    n.产品，产物；(乘)积
production    n.生产；产品；总产量
productive    a.生产的；出产…的
productivity    n.生产率；多产
profession    n.职业
professional    a.职业的
professor    n.教授
profit    n.益处；利润
profound    a.深刻的；渊博的
program    vi.编制程序
programme    n.方案；（活动的）程序；节目；规划；课程；（机器工作的）程序 v.计划；培养；编程；制作节目；预设
progress    n.前进，进展；进步
progressive    a.进步的；向前进的
prohibit    vt.禁止，阻止
project    n.方案，工程
promise    n.诺言；指望
promisee    n.承诺人；受约人
promiser    n.立约人；许诺者
promising    a.有希望的；有前途的
promote    vt.促进，发扬；提升
promotion    n.促进；提升；创立
prompt    a.及时的
pronoun    n.代名词
pronounce    vt.发…的音；宣布
pronunciation    n.发音，发音法
proof    n.证据；证明；校样
proper    a.合乎体统的，正派的
property    n.财产，资产；性质
proportion    n.比，比率，部分
proposal    n.提议，建议；求婚
propose    vt.提议
proprietary    adj.专利的；所有权的 n.所有权；所有人
proprietorship    n.所有权；所有者；业主权
prospect    n.展望；前景，前程
prosperity    n.繁荣；昌盛，兴旺
prosperous    a.繁荣的，昌盛的
protect    vt.保护，保卫，警戒
protection    n.保护，警戒
protein    n.蛋白质，朊
protest    vt.&vi.&n.抗议
proud    a.骄傲的；自豪的
prove    vt.证明
proverb    n.谚语，格言，箴言
provide    vt.提供；装备，供给
provided    conj.以…为条件
province    n.领域，范围，职权
provision    n.规定，条款，条项
proxy    n.代理人；代理权；委托书 adj.代理的
psychological    a.心理的，心理学的
psychology    n.心理学；心理
public    a.公众的
publication    n.公布；出版；出版物
publish    vt.公布；发表；出版
pudding    n.布丁
pull    vt.拉，拖；拉，拉力
pulse    n.脉搏；脉冲，脉动
pump    n.泵
punctual    a.严守时刻的；准时的
punish    vt.罚，惩罚，处罚
punishment    n.罚，惩罚，处罚
pupil    n.瞳孔
puppet    n.木偶，玩偶；傀儡
purchase    n.买，购买
pure    a.纯粹的；纯洁的
purify    vt.提纯，精炼(金属)
purple    n.紫色
purpose    n.目的；意图；效果
purse    n.钱包，小钱袋，手袋
pursue    vt.追赶，追踪；进行
pursuit    n.追赶；追求；事务
push    vt.推，逼迫
put    vt.放，摆；使处于
puzzle    n.难题；谜
quake    v.震动；颤抖 n.震动；地震
qualify    vt.限制，限定，修饰
quality    n.质量；品质，特性
quantity    n.量，数量，分量
quarrel    n.争吵，吵架，口角
quarter    n.四分之一；一刻钟
queen    n.王后；女王
question    vt.问，询问，讯问
queue    n.行列
quick    a.快的；敏捷的
quicken    vt.加快
quiet    a.寂静的；安静的
quilt    n.被(子)
quit    vt.离开，退出；停止
quite    ad.完全；相当；的确
quota    n.限额；配额；定额；最低票数
quotation    n.引用；引文；报价单
quote    vt.引用，引证；报价
rabbit    n.兔子，野兔
race    n.人种，种族，民族
racial    a.种族的，人种的
radar    n.雷达，无线电探测器
radio    n.无线电；收音机
radius    n.半径距离；界限
rag    n.破布，碎布，抹布
rage    n.(一阵)狂怒，盛怒
rail    n.横条，横杆；铁轨
railroad    n.铁路
railway    n.铁路，铁道
rain    n.雨，雨水
rainbow    n.虹，彩虹
raincoat    n.雨衣
rainfall    n.降雨；降雨量
rainy    a.下雨的，多雨的
raise    vt.提出，发起，发出
rally    n.&vt.&vi.(重新)集合
range    vt.排列；把…分类
rank    n.排，横行；社会阶层
ransom    n.赎金；赎身；赎回 vt.赎回
rapid    a.快的
rare    a.稀薄的；稀有的
rarely    ad.很少，难得
rat    n.老鼠，耗子
ratal    n.纳税额
rate    n.价格
rather    ad.宁可，宁愿；相当
rating    n.等级；评定；收视率；额定值
ratio    n.比，比率
ration    n.定额；定量；配给 vt.限量供应；配给
rational    a.推理的；适度的
rationalize    vt.使合理化；合理地说明；[数]给…消根
raw    a.未煮过的；未加工的
ray    n.光线，射线，辐射线
reach    vt.抵达；伸出vi.达到
react    vi.起反应；有影响
reaction    n.反应；反作用
read    vt.读，看懂
reader    n.读者；读物，读本
reading    n.读，阅读；读书
reading-room    n.阅览室
ready    a.准备好的；愿意的
real    a.真的；现实的
reality    n.现实；真实
realization    n.(理想等的)实现
realize    vt.实现；认识到
realm    n.王国，国土；领域
realty    n.不动产；房地产
reap    vt.&vi.收割，收获
rear    vt.饲养，培植；抚养
reason    vt.辩论，讨论
reasonable    a.合情合理的；公道的
rebate    n.回扣 vt.减少；变钝 vi.减少
rebuild    v.重建；重新组装；恢复
recall    vt.回想；叫回；收回
receipt    n.收到；收条，收据
receivable    adj.可收到的；应收的 n.(复)receivables: 应收帐款
receive    vt.收到；得到；接待
receiver    n.接待者；收受者
recent    a.新近的，最近的
reception    a.接待；招待会；接受
recession    n.后退；（经济）不景气
recite    vt.&vi.背诵，朗诵
reckless    a.粗心大意的；鲁莽的
recognition    n.认出，识别；重视
recognize    vt.认识，认出；承认
recommend    vt.推荐，介绍；劝告
recommendation    n.推荐，介绍；建议
reconcile    vt.使和好；调停
record    n.记录；履历
recorder    n.记录者；录音机
recover    vt.重新获得；挽回
recovery    n.重获；痊愈，恢复
recreation    n.消遣，娱乐活动
recycle    vt.再利用；使再循环；再制 vi.循环 n.再循环
red    a.红色的
reduce    vt.减少，减小；简化
reduction    n.减少，减小，缩减
reeducate    vt.再教育
reenforce    v.加固；加强；增援
refer    vt.使求助于
referee    n.(足球等)裁判员
reference    n.参考文献；参照系
refine    vt.&vi.精炼，提纯
reflect    vt.反射；反映；思考
reflection    n.反射；映象；反映
reform    vt.&n.改革，改良
reformer    n.改革家；改革运动者
refresh    vt.使清新vi.恢复精神
refreshment    n.(精力的)恢复，爽快
refund    n.偿还；退款 vt.偿还；退还
refusal    n.拒绝
refuse    vt.拒绝
refute    vt.驳斥，反驳，驳倒
regard    vt.把…看作；尊敬
regarding    prep.关于
region    n.地区，地带；领域
register    n.&vt.登记，注册
regret    vt.懊悔；抱歉
regular    a.规则的；整齐的
regulate    vt.调整，调节，对准
regulation    n.规章，规则；调节
reimbursement    n.偿还；赔偿；偿付
reinforce    vt.增援，支援；加强
reject    vt.舍弃，抛弃；排斥
relate    vt.叙述；使联系
related    adj.相关的；有亲属关系的；属于同一种类的（或组别的）
relation    n.关系，联系；家属
relationship    n.关系，联系
relative    a.有关系的；相对的
relax    vt.使松弛
release    vt.释放；放松；发表
reliability    n.可靠性
reliable    a.可靠的，可信赖的
relief    n.减轻；救济；援救
relieve    vt.减轻，解除；救济
religion    n.信念，信条
religious    a.宗教的；虔诚的
reluctant    a.不愿的，勉强的
rely    vi.依赖，依靠；信赖
remain    vi.剩下，余留；保持
remains    n.残余，余额；废墟
remark    vt.&vi.&n.评论，谈论
remarkable    a.异常的，非凡的
remedy    n.&vt.治疗；补救
remember    vt.记得，想起；记住
remind    vt.提醒，使想起
reminder    n.提醒物；提示；催单
remit    vt.汇出；提交；宽恕；免除；延迟 vi.汇款；缓和；减轻 n.移交事项
remittance    n.汇款
remittee    n.汇款领取人
remitter    n.汇款人
remote    a.相隔很远的；冷淡的
remove    vt.移动，搬开；脱掉
renew    vt.使更新
renewal    n.更新；恢复；革新；复苏；复活
rent    n.租金，租
rental    n.租费；租借 adj.租借的；地租的
repair    vt.&n.修理，修补
repayment    n.偿还；付还的钱
repeat    vt.重说，重做
repeatedly    ad.重复地；一再
repetition    n.重复，反复
replace    vt.送还，归还，赔还
reply    vi.&n.回答，答复
report    n.传说，议论
reporter    n.记者，通讯员
represent    vt.描绘；代表；象征
representative    a.代表性的；代议制的
reproduce    vt.仿造
republic    n.共和国，共和政体
republican    a.共和国的
reputation    n.名誉，名声；好名声
request    n.&v.请求，要求
require    vt.需要；要求，命令
requirement    n.需要；要求
requisition    n.请求；征用 v.要求；征用
rescue    vt.&n.援救，营救
research    n.&vi.调查，探究
researcher    n.调查者；探究者
resemble    vt.像，类似
reserve    n.缄默，自我克制
reservoir    n.水库；储藏；蓄水池；积蓄
residence    n.居住；驻扎；住处
resident    n.常住者
resign    vt.使顺从，使听任于
resist    vt.&vi.抵抗，抵制
resistance    n.抵抗；抵制；抵抗力
resolute    a.坚决的，果敢的
resolution    n.坚决，坚定；决定
resolve    vt.解决；决心
resort    vi.&n.求助，凭借
resource    n.资源，物力；办法
respect    n.&vt.尊敬，尊重
respectful    a.恭敬的，尊重的
respective    各自的，各个的
respond    vi.作答；响应
response    n.回音，回签；灵敏度
responsibility    n.责任，责任心；职责
responsible    a.重要的；可靠的
rest    n.剩余部分；其余的人
restaurant    n.餐馆，饭店，菜馆
restless    a.不安定的，焦虑的
restore    vt.恢复；归还；修补
restrain    vt.抑制，制止，遏制
restrict    vt限制，限定，约束
result    n.成果
resume    n.(谋职者的)个人简历
retail    n.零售
retailer    n.零售商(店)
retain    vt.保持，保留，保有
retell    vt.再讲，重述，复述
retire    vi.退下；引退；就寝
retirement    n.退休，引退；退隐
retreat    vi.(被迫)退却，后退
return    vi.&n.回来，返回
reveal    vt.告诉，揭示，泄露
revenue    n.收入；收入数目
review    vt.再检查
revise    vt.修订，校订；修改
revive    vt.&vi.苏醒；复兴
revolution    n.革命；旋转，绕转
revolutionary    a.革命的
reward    n.报答；报酬
rhythm    n.韵律，格律；节奏
ribbon    n.缎带，丝带；带
rice    n.稻，米，饭
rich    a.富的，丰富的
rid    vt.使摆脱，使去掉
ride    vi.&n.骑马，乘车
ridiculous    a.荒谬的，可笑的
rifle    n.步枪，来复枪
right    a.正确的
rill    n.小河；(月球表面的)谷 v.潺潺地流
ring    vi.鸣；按铃
ripe    a.熟的；时机成熟的
rise    vi.起立；升起；上涨
risk    n.风险，危险，冒险
rival    n.竞争者
river    n.江，河，水道
road    n.路，道路，公路
roar    vi.吼叫；呼喊
roast    vt.&vi.烤，炙，烘
rob    vt.&vi.抢劫；劫掠
robber    n.强盗，盗贼
robbery    n.抢劫，劫掠，盗取
robot    n.机器人；自动机
rock    n.岩，岩石；石头
rocket    n.火箭，火箭发动机
role    n.角色，作用，任务
roll    vi.&vt.滚动；转动
romantic    a.好幻想的
roof    n.屋顶，车顶；顶
room    n.房间；地位；余地
root    n.根，根子
rope    n.绳，索
rose    n.蔷薇花，蔷薇科植物
rot    vt.烂，腐坏
rotten    a.腐烂的，发臭的
rough    a.表面不平的；粗略的
round    a.圆的
roundsman    n.稽查员；推销员
rouse    vt.唤醒，唤起；惊起
route    n.路，路线，路程
routine    a.日常的
row    n.吵嚷，吵架，口角
royal    a.王的；皇家的
rub    vt.摩擦，擦
rubber    n.橡皮(擦子)；橡胶
rubbish    n.垃圾，废物；废话
rude    a.加工粗糙的；粗野的
ruin    n.毁灭；废墟
rule    n.裁决，裁定
ruler    n.统治者；尺，直尺
rumor    n.谣言；传闻 vt.谣传
rumour    n.谣言，谣传，传闻
run    vi.跑，奔；行驶；流
rural    a.农村的，田园的
rush    vi.冲，奔
rust    n.锈
sack    n.袋，麻袋；开除
sacred    a.上帝的；神圣的
sacrifice    n.&vt.牺牲；南祭
sad    a.悲哀的，令人悲痛的
sadly    ad.悲痛地，悲哀地
sadness    n.悲痛，悲哀
safe    n.保险箱
safety    n.安全，保险
sail    n.帆；船
sailor    n.水手，海员，水兵
sake    n.缘故，理由
salad    n.色拉；莴苣，生菜
salary    n.薪金，薪水
sale    n.卖；拍卖；销售额
salesman    n.售货员，推销员
salt    n.盐；盐类
salty    adj.咸的
salute    vt.迎接，欢迎
same    a.同一的，相同的
sample    n.样品；实例，标本
sampling    n.抽样；样品
sanction    n.批准；约束力；处罚 vt.批准；支持
sand    n.沙，沙子；沙滩
sandwich    vt.夹入，挤进
satellite    n.附属物
satiety    n.饱足；满足
satisfaction    n.快事，乐事；愉快
satisfactory    a.令人满意的，良好的
satisfy    vt.满足；使满意
sauce    n.调味汁，酱汁
sausage    n.香肠，腊肠
save    vt.救；节省；储蓄
saving    n.搭救；节约；存款
saw    n.锯子
say    vt.说；说明；比如说
saying    n.谚语；俗话；格言
scale    n.标度；比例；大小
scan    n.扫描，扫掠
scarce    a.缺乏的；希有的
scarcely    ad.仅仅；几乎不
scare    vt.惊吓
scatter    vt.使消散；撒；散播
scene    n.发生地点；道具
scenery    n.舞台布景；风景
schedule    n.时间表；计划表
scheme    vt.计划
scholar    n.学者(尤指文学方面)
scholarship    n.学问，学识；奖学金
school    n.学校；学院；学派
science    n.科学，科学研究
scientific    a.科学(上)的
scientist    n.(自然)科学家
scissors    n.剪刀，剪子
scold    vi.责骂
scope    n.眼界
score    n.得分，比数，成绩
scorn    n.轻蔑；嘲笑
scream    vi.尖叫；呼啸
screen    n.屏；屏幕
screw    n.螺旋，螺丝
screwdriver    n.螺丝起子 n.伏特加橙汁鸡尾酒
sea    n.海，海洋
seal    n.海豹
seaman    n.海员，水手；水兵
seaport    n.海港，港口，港市
search    vt.在…中搜寻，搜查
seasick    adj.晕船的
season    n.季，季节，时节
seat    n.座；座部
second    vt.支持
secondary    a.第二的；次要的
secondly    ad.第二(点)；其次
secret    a.秘密的；隐蔽的
secretary    n.秘书；书记；大臣
section    n.切下的部分
secure    a.安心的；安全的
security    n.安全，安全感
see    vt.看见；遇见；看出
seed    n.种(子)，籽，萌芽
seek    vt.寻找，探索；试图
seem    vi.好像，似乎
seize    vt.抓住，逮捕；夺取
seizure    n.夺取；捕获；没收；发作
seldom    ad.很少，不常，难得
select    vt.&vi.选择，挑选
selection    n.精选的东西；选择
self    n.自我，自己
selfish    a.自私的，利己的
sell    vt.&vi.卖，销售
seller    n.卖者；行销货
semester    n.半年；学期，半学年
send    vt.送，寄发；派遣
senior    a.年少的；地位较高的
sense    n.感官；感觉；见识
sensible    a.明显的，感觉得到的
sensitive    a.敏感的；灵敏的
sentence    n.判决；句子
separate    a.分离的；个别的
series    n.连续，系列；丛书
serious    a.严肃的；认真的
seriousness    n.严肃；认真；严重性
servant    n.仆人，佣人，雇工
serve    vt.为…服务；招待
service    n.服务；行政部门
set    n.集(合)
set-up    n.计划；安排；装置；设备
setback    n.挫折；失败；退步
settle    vt.安排；安放；调停
settlement    n.调停；(新)住宅区
seven    num.七，七个(人或物)
seventeen    num.十七，十七个
seventh    num.第七；七分之一
seventy    num.七十，七十个
several    a.几个，数个
severe    a.激烈的；简朴的
sew    vt.缝制
sex    n.性别，性
shade    n.(色彩的)浓淡，深浅
shadow    n.阴影，阴，影子
shake    vt.摇，使震动
shall    aux.v.将要；必须；应
shallow    a.浅的；浅薄的
shame    vt.使羞愧，玷辱
shape    n.形状；情况
share    n.份；份额；股份
shareholder    n.股东
sharp    a.锋利的；敏锐的
sharpen    vt.削尖，使敏锐
shave    vt.剃，刮
she    pron.(主格)她
sheep    n.羊，绵羊
sheet    n.被单；纸张；薄板
shelf    n.搁板，架子
shelter    n.隐蔽处；掩蔽，庇护
shift    vt.替换，转移
ship    n.(大)船，海船，舰
shipment    n.装货；装载的货物
shipping    n.船运；发货；运输；乘船
shirt    n.(男式)衬衫
